,city,lat,long,max temp,humidity,cloudiness,wind speed,country,date
81,Natitingou,10.3042,1.3796,77.0,33,0,4.7,BJ,1609884695
82,Cap Malheureux,-19.9842,57.6142,73.99,86,14,4.0,MU,1609884695
83,Babol,36.5513,52.679,42.96,77,22,3.4,IR,1609884522
84,Tiksi,71.6872,128.8694,-23.26,85,100,13.62,RU,1609884695
85,Cidreira,-30.1811,-50.2056,72.23,90,100,7.54,BR,1609884695
86,Portree,57.4129,-6.1942,33.01,84,57,0.81,GB,1609884696
87,Qaanaaq,77.484,-69.3632,2.5,81,100,6.58,GL,1609884696
88,Kapaa,22.0752,-159.319,78.8,69,40,14.99,US,1609884696
89,Tamalín,21.35,-97.8,71.98,79,84,4.74,MX,1609884696
90,Broken Hill,-31.95,141.4333,60.8,67,58,18.34,AU,1609884696
91,Airai,-8.9266,125.4092,62.15,100,100,0.87,TL,1609884696
92,Sørland,67.667,12.6934,43.81,88,100,18.63,NO,1609884696
93,Saskylakh,71.9167,114.0833,-2.06,90,97,14.65,RU,1609884696
94,Pasni,25.2631,63.471,60.33,35,0,25.03,PK,1609884696
95,Pringsewu,-5.3582,104.9744,73.62,93,84,1.03,ID,1609884696
96,Bredasdorp,-34.5322,20.0403,59.0,82,1,3.36,ZA,1609884696
97,Aras,42.5617,-2.356,35.6,98,90,8.05,ES,1609884696
98,Carnarvon,-24.8667,113.6333,77.0,69,75,9.17,AU,1609884696
99,Atuona,-9.8,-139.0333,77.31,77,25,16.02,PF,1609884697
100,Kahului,20.8947,-156.47,82.4,54,40,16.11,US,1609884447
101,Klaksvík,62.2266,-6.589,44.6,93,100,12.75,FO,1609884697
102,Thompson,55.7435,-97.8558,6.8,84,90,4.7,CA,1609884697
103,Kandrian,-6.2167,149.55,82.85,77,96,3.67,PG,1609884697
104,Katobu,-4.9408,122.5276,75.69,90,100,3.04,ID,1609884697
105,Imbituba,-28.24,-48.6703,78.8,83,75,9.17,BR,1609884436
106,Ponta do Sol,32.6667,-17.1,64.4,77,40,3.36,PT,1609884697
107,Kabanjahe,3.1001,98.4908,75.2,100,40,3.36,ID,1609884697
108,Hasaki,35.7333,140.8333,41.0,86,75,13.87,JP,1609884697
109,Lüderitz,-26.6481,15.1594,68.0,82,61,13.87,NA,1609884697
110,São Raimundo das Mangabeiras,-7.0219,-45.4811,80.65,66,45,5.08,BR,1609884697
111,Saint-Philippe,-21.3585,55.7679,77.0,73,90,5.82,RE,1609884697
112,Ivanivka,46.7208,34.553,41.4,91,100,8.08,UA,1609884698
113,Touros,-5.1989,-35.4608,78.8,78,20,10.29,BR,1609884698
114,Bandarbeyla,9.4942,50.8122,73.04,68,1,18.48,SO,1609884698
115,Dikson,73.5069,80.5464,16.79,96,100,26.04,RU,1609884698
116,Magistral'nyy,56.1725,107.4458,-27.94,83,100,5.12,RU,1609884698
117,Béré,9.3202,16.1552,75.96,19,0,2.91,TD,1609884698
118,Tromsø,69.6496,18.957,41.0,80,75,25.28,NO,1609884698
119,Inta,66.0317,60.1659,1.04,91,24,4.27,RU,1609884698
120,Belokurikha,51.9959,84.9896,-7.29,81,0,2.48,RU,1609884698
121,Labuhan,-6.8844,112.2051,76.55,88,100,6.6,ID,1609884469
122,Hastings,50.8552,0.5729,39.0,90,100,4.0,GB,1609884699
123,Esperance,-33.8667,121.9,55.4,71,90,6.93,AU,1609884699
124,Margate,51.3813,1.3862,43.0,72,100,1.99,GB,1609884699
125,Anito,12.4497,125.2886,77.99,87,98,9.64,PH,1609884699
126,Derzhavīnsk,51.1,66.3167,-9.8,88,4,9.24,KZ,1609884699
127,Codrington,-38.2667,141.9667,57.52,76,99,13.85,AU,1609884586
128,Langsa,4.4683,97.9683,73.26,97,100,3.29,ID,1609884699
129,Inhambane,-23.865,35.3833,78.35,82,42,7.7,MZ,1609884700
130,Ust-Nera,64.5667,143.2,-19.91,77,100,2.71,RU,1609884700
131,Vaini,-21.2,-175.2,80.6,94,75,10.29,TO,1609884700
132,Pisco,-13.7,-76.2167,77.0,73,0,18.34,PE,1609884700
133,Sistranda,63.7256,8.834,28.4,74,0,13.87,NO,1609884700
134,Ola,59.5833,151.2833,-14.01,79,29,9.95,RU,1609884700
135,Bethel,41.3712,-73.414,36.0,85,98,3.94,US,1609884700
136,Lata,40.1629,-8.3327,42.01,86,0,2.24,PT,1609884700
137,Rawson,-43.3002,-65.1023,71.08,37,0,19.13,AR,1609884648
138,Sydney,-33.8679,151.2073,71.01,83,75,13.87,AU,1609884499
139,Constitución,-35.3333,-72.4167,63.48,61,4,14.41,CL,1609884475
140,Santoña,43.4439,-3.4576,41.0,100,40,1.12,ES,1609884700
141,Port Lincoln,-34.7333,135.8667,60.15,68,100,16.71,AU,1609884700
142,Yellowknife,62.456,-114.3525,-8.0,76,75,14.99,CA,1609884516
143,Fairbanks,64.8378,-147.7164,0.0,76,20,2.24,US,1609884700
144,Zwedru,6.0667,-8.1281,74.01,91,56,2.98,LR,1609884701
145,Lebu,-37.6167,-73.65,59.34,75,0,20.94,CL,1609884701
146,Boissevain,49.2306,-100.0559,33.01,92,1,4.7,CA,1609884701
147,Elgin,42.0373,-88.2812,30.99,92,90,4.7,US,1609884701
148,Kavieng,-2.5744,150.7967,81.12,80,100,8.19,PG,1609884701
149,Vestmannaeyjar,63.4427,-20.2734,38.73,76,100,17.43,IS,1609884701
150,Pevek,69.7008,170.3133,-13.74,90,100,7.43,RU,1609884701
151,Meulaboh,4.1363,96.1285,77.38,85,84,4.09,ID,1609884471
152,Evensk,61.95,159.2333,-13.14,78,8,7.96,RU,1609884701
153,Longyearbyen,78.2186,15.6401,21.2,73,90,13.87,SJ,1609884701
154,Vao,-22.6667,167.4833,77.77,82,100,22.97,NC,1609884701
155,Khatanga,71.9667,102.5,-0.8,93,100,21.88,RU,1609884702
156,Qui Nhon,13.7667,109.2333,73.76,87,100,19.08,VN,1609884702
157,Umluj,25.0213,37.2685,74.52,63,0,8.01,SA,1609884702
158,Castro,-24.7911,-50.0119,67.59,93,99,3.06,BR,1609884551
159,Mlandizi,-6.7,38.7333,80.6,83,20,13.87,TZ,1609884702
160,Geraldton,-28.7667,114.6,77.0,23,26,20.8,AU,1609884702
161,Anadyr,64.75,177.4833,-14.8,75,20,8.95,RU,1609884702
162,Leningradskiy,69.3833,178.4167,-9.65,87,100,14.09,RU,1609884702
163,Barrow,71.2906,-156.7887,-18.4,75,75,5.82,US,1609884702
164,Fuzhou,26.0614,119.3061,51.8,71,75,17.9,CN,1609884644
165,Senador José Porfírio,-2.5908,-51.9542,79.63,78,100,4.43,BR,1609884702
166,Qingdao,36.0986,120.3719,23.0,85,0,4.47,CN,1609884702
167,Mildura,-34.2,142.15,59.0,67,90,11.41,AU,1609884703
168,Rupea,46.0333,25.2167,35.01,87,93,2.91,RO,1609884703
169,Luba,3.4568,8.5547,80.6,83,20,5.82,GQ,1609884703
170,Alice Springs,-23.7,133.8833,69.8,43,53,14.99,AU,1609884704
171,Port Macquarie,-31.4333,152.9167,79.0,71,4,1.01,AU,1609884704
172,Monrovia,6.3005,-10.7969,77.0,94,40,8.97,LR,1609884704
173,Bengkulu,-3.8004,102.2655,75.63,89,69,6.2,ID,1609884704
174,Kemijärvi,66.7131,27.4306,8.42,95,51,3.96,FI,1609884704
175,Fort Frances,48.5999,-93.4003,25.0,79,90,4.7,CA,1609884704
176,Grindavik,63.8424,-22.4338,35.6,80,75,12.75,IS,1609884704
177,Fortuna,40.5982,-124.1573,57.99,54,75,17.22,US,1609884704
178,Vanavara,60.34,102.2797,-12.21,89,100,4.99,RU,1609884704
179,Cibitoke Province,-2.8833,29.25,61.11,92,88,3.22,BI,1609884704
180,Ţahţā,26.7693,31.5021,57.2,76,0,5.82,EG,1609884704
181,Katsuura,35.1333,140.3,42.8,87,75,14.99,JP,1609884704
182,San Cristobal,7.7669,-72.225,82.4,61,40,8.05,VE,1609884704
183,Ostrovnoy,68.0531,39.5131,15.48,95,54,23.31,RU,1609884704
184,Harindānga,22.0383,88.3214,64.4,88,31,5.48,IN,1609884704
185,Suntar,62.1444,117.6319,-24.2,84,100,8.66,RU,1609884705
186,Tombouctou,20.0,-3.0,69.19,21,45,5.53,ML,1609884705
187,Chadiza,-14.0678,32.4392,66.99,95,97,1.63,ZM,1609884705
188,Brazzaville,-4.2658,15.2832,82.4,78,20,5.82,CG,1609884705
189,Flin Flon,54.7682,-101.865,19.4,79,90,4.7,CA,1609884705
190,Arkhangelsk,64.5401,40.5433,17.6,92,90,2.24,RU,1609884705
191,Lagoa,39.05,-27.9833,58.33,80,100,41.38,PT,1609884705
192,Mar del Plata,-38.0023,-57.5575,68.0,88,90,16.11,AR,1609884529
193,Lavrentiya,65.5833,-171.0,-11.78,83,7,13.31,RU,1609884705
194,Zaysan,47.4667,84.8667,-16.19,82,80,2.15,KZ,1609884705
195,Nikolskoye,59.7035,30.7861,28.4,86,90,8.95,RU,1609884705
196,Guerrero Negro,27.9769,-114.0611,69.82,42,84,9.8,MX,1609884705
197,Oksbøl,55.6268,8.2876,35.01,86,100,11.41,DK,1609884706
198,Bambous Virieux,-20.3428,57.7575,77.0,83,40,5.82,MU,1609884706
199,Kilindoni,-7.9139,39.6668,81.63,78,54,16.96,TZ,1609884706
200,Olinda,-8.0089,-34.8553,78.8,69,40,10.29,BR,1609884406
201,Zhigansk,66.7697,123.3711,-39.15,80,100,11.03,RU,1609884706
202,Nara,34.6851,135.8049,41.0,75,75,3.36,JP,1609884553
203,Avera,33.194,-82.5271,60.8,38,40,12.75,US,1609884706
204,Reshetylivka,49.565,34.0782,31.42,96,91,9.62,UA,1609884706
205,Brae,60.3964,-1.353,42.8,87,90,9.17,GB,1609884706
206,Omsukchan,62.5333,155.8,-30.8,81,99,3.85,RU,1609884706
207,Sinnamary,5.3833,-52.95,79.03,84,99,9.57,GF,1609884706
208,Ponta Delgada,37.7333,-25.6667,55.4,82,75,19.46,PT,1609884676
209,Hualmay,-11.0964,-77.6139,71.28,80,87,8.7,PE,1609884706
210,Uray,60.1247,64.7758,-15.84,88,0,5.99,RU,1609884706
211,Breytovo,58.2993,37.8617,23.65,98,99,3.42,RU,1609884706
212,Ancud,-41.8697,-73.8203,68.0,52,0,8.05,CL,1609884706
213,Warri,5.5167,5.75,78.17,89,35,3.78,NG,1609884707
214,Vila Franca do Campo,37.7167,-25.4333,55.4,82,75,19.46,PT,1609884707
215,Chake Chake,-5.2459,39.7666,77.74,83,0,9.89,TZ,1609884707
216,Ivanjica,43.5803,20.2311,42.8,75,0,5.82,RS,1609884707
217,Ahipara,-35.1667,173.1667,73.94,56,92,2.06,NZ,1609884707
218,Valparaíso,-33.0393,-71.6273,66.0,63,0,11.41,CL,1609884575
219,Birao,10.2849,22.7882,71.62,22,0,6.53,CF,1609884707
220,Gaza,31.5,34.4667,62.01,100,20,3.36,PS,1609884707
221,Kysyl-Syr,63.8986,122.7617,-29.67,84,100,3.49,RU,1609884707
222,Cabo San Lucas,22.8909,-109.9124,75.0,46,75,8.05,MX,1609884465
223,Raja,8.4596,25.678,71.85,27,0,4.38,SS,1609884707
224,Santa Rosa,14.3122,121.1114,75.2,88,20,8.19,PH,1609884624
225,Inongo,-1.95,18.2667,74.71,83,7,5.39,CD,1609884707
226,Igarka,67.4667,86.5833,-15.18,89,100,10.67,RU,1609884708
227,Saint-Prosper,46.2117,-70.4811,24.8,79,100,5.82,CA,1609884708
228,Isiro,2.7739,27.616,70.05,73,48,1.23,CD,1609884708
229,Muros,42.7762,-9.0603,35.01,96,3,1.99,ES,1609884708
230,St Johann im Pongau,47.35,13.2,26.01,92,100,1.57,AT,1609884708
231,Ayamé,5.6083,-3.1563,75.47,92,100,4.14,CI,1609884708
232,Tessalit,20.1986,1.0114,67.95,21,98,8.12,ML,1609884708
233,Itoman,26.1247,127.6694,59.0,87,75,12.75,JP,1609884487
234,Kruisfontein,-34.0033,24.7314,69.01,86,57,4.72,ZA,1609884708
235,Huilong,31.8111,121.655,41.0,71,81,10.51,CN,1609884708
236,Zemio,5.0314,25.1361,72.7,40,26,2.39,CF,1609884708
237,Husavik,66.0449,-17.3389,33.8,74,75,8.05,IS,1609884709
238,Zapolyarnyy,69.4154,30.8136,15.8,85,75,18.34,RU,1609884709
239,Lumeje,-11.55,20.7833,66.31,86,89,2.37,AO,1609884709
240,Hofn,64.2539,-15.2082,37.44,84,100,8.3,IS,1609884709
241,Narsaq,60.9167,-46.05,23.0,49,20,8.05,GL,1609884709
242,Tallahassee,30.4383,-84.2807,64.4,34,1,13.87,US,1609884709
243,Nanortalik,60.1432,-45.2371,26.04,90,0,6.02,GL,1609884709
244,Gamba,-2.65,10.0,78.03,90,99,8.88,GA,1609884709
245,Shingū,33.7333,135.9833,40.05,75,99,5.5,JP,1609884709
246,George Town,5.4112,100.3354,77.0,94,40,6.93,MY,1609884709
247,Chifeng,42.2683,118.9636,-11.54,75,0,16.35,CN,1609884709
248,Sisimiut,66.9395,-53.6735,12.7,94,100,16.73,GL,1609884709
249,Batemans Bay,-35.7167,150.1833,69.01,97,21,3.0,AU,1609884709
250,Grand-Santi,4.25,-54.3833,74.48,95,76,3.29,GF,1609884709
251,Saint-Pierre,-21.3393,55.4781,77.0,73,90,5.82,RE,1609884709
252,Fernández,-27.9204,-63.8935,87.31,44,100,6.13,AR,1609884710
253,Iracoubo,5.4802,-53.2011,79.23,84,100,9.35,GF,1609884710
254,Tipuani,-15.5648,-68.0185,71.94,86,100,1.79,BO,1609884710
255,Hong Kong,22.2855,114.1577,62.01,71,66,1.01,HK,1609884589
256,St Austell,50.3383,-4.7658,37.4,74,10,13.87,GB,1609884710
257,Yanam,16.7333,82.2167,73.71,82,96,6.13,IN,1609884710
258,Nouadhibou,20.931,-17.0347,68.0,82,100,11.41,MR,1609884710
259,Clarence Town,-32.5833,151.7833,73.99,83,75,12.75,AU,1609884710
260,Mogadishu,2.0371,45.3438,76.44,72,63,23.73,SO,1609884710
261,Port Augusta,-32.5,137.7667,62.6,63,90,17.22,AU,1609884710
262,Saint Anthony,45.0205,-93.218,33.8,69,1,3.74,US,1609884710
263,Poum,-20.2333,164.0167,82.33,79,54,4.59,NC,1609884710
264,Pedasí,7.5333,-80.0333,81.55,71,77,11.14,PA,1609884711
265,Maputo,-25.9653,32.5892,80.6,88,20,9.17,MZ,1609884711
266,Manado,1.487,124.8455,75.2,94,20,1.97,ID,1609884711
267,Faanui,-16.4833,-151.75,81.3,75,14,12.97,PF,1609884711
268,Tuktoyaktuk,69.4541,-133.0374,-16.6,75,75,3.36,CA,1609884711
269,Port Alfred,-33.5906,26.891,70.0,90,92,9.01,ZA,1609884711
270,Miracema do Tocantins,-9.5618,-48.3967,82.26,60,30,2.35,BR,1609884711
271,Ukiah,39.1502,-123.2078,55.0,66,1,3.36,US,1609884491
272,Bac Lieu,9.285,105.7244,75.06,88,95,10.76,VN,1609884711
273,Henties Bay,-22.116,14.2845,69.01,90,97,1.99,NA,1609884711
274,Fayaoué,-20.65,166.5333,81.59,83,98,20.31,NC,1609884711
275,Marabu,4.4148,114.0089,73.4,100,40,2.24,MY,1609884711
276,Sarangani,5.4033,125.4636,78.76,85,100,7.99,PH,1609884712
277,Lingao,19.9103,109.6859,65.86,59,100,10.85,CN,1609884712
278,Bratsk,56.1325,101.6142,-14.8,68,100,8.95,RU,1609884712
279,Baykal'sk,51.5058,104.1469,-3.84,88,100,8.12,RU,1609884712
280,Yuncheng,35.0231,110.9928,23.07,69,0,4.38,CN,1609884712
281,Cape Coast,5.1053,-1.2466,80.29,84,96,12.55,GH,1609884712
282,Socorro,31.6546,-106.3033,64.4,18,90,12.75,US,1609884712
283,Ulaangom,49.9811,92.0667,-27.71,79,0,0.94,MN,1609884712
284,Chui,-33.6971,-53.4616,73.26,82,79,16.84,UY,1609884713
285,Ust'-Uda,54.1742,103.0304,-7.96,90,100,3.4,RU,1609884713
286,Egvekinot,66.3167,-179.1667,-15.83,90,69,4.85,RU,1609884668
287,Vilyuysk,63.7553,121.6247,-27.9,85,100,5.06,RU,1609884713
288,Antalaha,-14.9003,50.2788,73.72,89,3,5.86,MG,1609884713
289,Kaura Namoda,12.5898,6.5779,77.65,17,0,8.7,NG,1609884713
290,São Filipe,14.8961,-24.4956,74.95,75,100,6.26,CV,1609884713
291,Raudeberg,61.9875,5.1352,33.01,77,12,5.26,NO,1609884713
292,Eureka,40.8021,-124.1637,57.99,51,100,3.0,US,1609884713
293,Ballina,-28.8667,153.5667,81.0,83,33,1.48,AU,1609884713
294,Oyama,36.3,139.8,44.01,80,75,16.11,JP,1609884713
295,Mbandaka,0.0487,18.2603,74.53,85,86,1.7,CD,1609884714
296,Agirish,61.9247,63.0231,-13.41,90,97,6.06,RU,1609884714
297,Bubaque,11.2833,-15.8333,80.76,69,45,9.86,GW,1609884714
298,Sangmélima,2.9333,11.9833,71.92,84,26,3.96,CM,1609884588
299,Luzhou,28.8724,105.4405,46.42,69,98,1.63,CN,1609884714
300,Yerbogachën,61.2767,108.0108,-19.35,87,100,8.14,RU,1609884714
301,Rocha,-34.4833,-54.3333,74.26,73,95,17.07,UY,1609884714
302,Tiznit Province,29.5833,-9.5,56.82,86,50,2.1,MA,1609884714
303,Lensk,60.7253,114.9278,-23.67,80,100,13.6,RU,1609884714
304,Aden,12.7794,45.0367,76.01,73,60,12.82,YE,1609884489
305,Grimstad,58.3405,8.5934,27.0,85,55,3.36,NO,1609884714
306,Sinfra,6.6167,-5.9167,75.2,83,0,4.38,CI,1609884714
307,Acapulco de Juárez,16.8634,-99.8901,84.2,74,20,10.29,MX,1609884714
308,Erzin,36.9559,36.2,55.99,48,58,5.99,TR,1609884714
309,Fort Nelson,58.8053,-122.7002,-7.6,76,75,1.97,CA,1609884714
310,Port Hedland,-20.3167,118.5667,78.8,54,90,14.99,AU,1609884715
311,Hambantota,6.1241,81.1185,73.4,100,0,3.36,LK,1609884715
312,Le Port,-20.9373,55.2919,77.0,69,75,17.22,RE,1609884715
313,Ergani,38.2653,39.7621,33.8,64,0,3.36,TR,1609884715
314,Clemmons,36.0215,-80.382,50.0,65,82,9.55,US,1609884607
315,Perivoli,39.4206,20.0147,57.2,67,40,5.82,GR,1609884715
316,Moosomin,50.1333,-101.6677,29.84,97,100,11.83,CA,1609884715
317,Manaure,11.7751,-72.4445,83.19,57,73,12.64,CO,1609884715
318,Alberton,46.8168,-64.0654,32.0,92,91,25.28,CA,1609884715
319,Prieska,-29.6641,22.7474,76.26,58,97,3.18,ZA,1609884715
320,Helena,46.5927,-112.0361,43.0,38,1,19.46,US,1609884470
321,Uíge,-7.6087,15.0613,66.67,93,79,2.46,AO,1609884715
322,Karasjok,69.4719,25.5112,21.2,79,0,12.75,NO,1609884716
